config,ok_rows,error_rows,objective,mean_branch_len,len1_ratio,mean_activation_density,tracked_lift_mean,tracked_separation_mean,valence_lift,social_orientation_lift,action_tendency_class_lift,appraisal_family_lift,control_state_lift,valence_separation,social_orientation_separation,action_tendency_class_separation,appraisal_family_separation,control_state_separation,params_json
thr0.60_clip1.9_inh0.12_low_fatigue,40,0,0.724807,34.8,0.0,0.93398,-0.075,0.239922,0.025,-0.025,-0.125,-0.125,-0.125,0.363904,0.157316,0.49527,0.074927,0.108194,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.12, ""fatigue_k_leak"": 0.025, ""fatigue_threshold_gain"": 0.06, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.9, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.78, ""k_threshold_base"": 0.6, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.63_clip2.2_inh0.12_mid_fatigue,40,0,0.72462,30.1,0.0,0.92827,-0.075,0.25172,0.05,-0.075,-0.15,-0.075,-0.125,0.497649,0.133027,0.416586,0.100697,0.110641,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.16, ""fatigue_k_leak"": 0.035, ""fatigue_threshold_gain"": 0.08, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 2.2, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.81, ""k_threshold_base"": 0.63, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.60_clip1.9_inh0.08_low_fatigue,40,0,0.71648,29.425,0.0,0.927508,-0.09,0.255749,0.05,-0.15,-0.05,-0.15,-0.15,0.445872,0.10946,0.438992,0.103514,0.180906,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.12, ""fatigue_k_leak"": 0.025, ""fatigue_threshold_gain"": 0.06, ""inhibitory_suppression_gain"": 0.08, ""input_signal_clip"": 1.9, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.78, ""k_threshold_base"": 0.6, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.66_clip2.2_inh0.12_mid_fatigue,40,0,0.712019,36.675,0.0,0.934992,-0.03,0.215084,0.075,-0.05,-0.125,0.0,-0.05,0.481628,0.133971,0.387322,0.061422,0.011079,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.16, ""fatigue_k_leak"": 0.035, ""fatigue_threshold_gain"": 0.08, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 2.2, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8400000000000001, ""k_threshold_base"": 0.66, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.63_clip1.9_inh0.12_low_fatigue,40,0,0.697553,30.75,0.0,0.926455,-0.065,0.235988,0.1,-0.125,-0.075,-0.15,-0.075,0.623037,0.06004,0.398551,0.030913,0.067397,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.12, ""fatigue_k_leak"": 0.025, ""fatigue_threshold_gain"": 0.06, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.9, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.81, ""k_threshold_base"": 0.63, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.60_clip1.6_inh0.12_mid_fatigue,40,0,0.693796,28.85,0.0,0.91568,-0.02,0.218885,0.075,-0.125,-0.15,0.0,0.1,0.449752,0.098741,0.350524,0.049332,0.146078,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.16, ""fatigue_k_leak"": 0.035, ""fatigue_threshold_gain"": 0.08, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.6, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.78, ""k_threshold_base"": 0.6, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.66_clip1.6_inh0.08_low_fatigue,40,0,0.673226,29.675,0.0,0.926865,-0.03,0.220069,0.075,0.05,-0.05,-0.1,-0.125,0.639673,0.094989,0.38162,-0.006805,-0.009133,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.12, ""fatigue_k_leak"": 0.025, ""fatigue_threshold_gain"": 0.06, ""inhibitory_suppression_gain"": 0.08, ""input_signal_clip"": 1.6, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8400000000000001, ""k_threshold_base"": 0.66, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.63_clip2.2_inh0.12_low_fatigue,40,0,0.664129,33.05,0.0,0.935966,-0.07,0.225187,0.075,-0.15,-0.075,-0.075,-0.125,0.523875,-0.006618,0.332595,0.062077,0.214006,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.12, ""fatigue_k_leak"": 0.025, ""fatigue_threshold_gain"": 0.06, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 2.2, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.81, ""k_threshold_base"": 0.63, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.60_clip1.9_inh0.12_mid_fatigue,40,0,0.63789,35.45,0.0,0.933159,-0.07,0.206569,0.05,-0.175,-0.125,-0.075,-0.025,0.68953,0.034955,0.348355,-0.011868,-0.028125,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.16, ""fatigue_k_leak"": 0.035, ""fatigue_threshold_gain"": 0.08, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.9, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.78, ""k_threshold_base"": 0.6, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.66_clip2.2_inh0.08_low_fatigue,40,0,0.634038,35.675,0.0,0.943402,-0.075,0.213031,0.025,-0.15,-0.075,-0.1,-0.075,0.40534,0.049884,0.380882,0.051929,0.177119,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.12, ""fatigue_k_leak"": 0.025, ""fatigue_threshold_gain"": 0.06, ""inhibitory_suppression_gain"": 0.08, ""input_signal_clip"": 2.2, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8400000000000001, ""k_threshold_base"": 0.66, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.60_clip2.2_inh0.08_mid_fatigue,40,0,0.622383,30.225,0.0,0.926826,-0.09,0.221262,0.05,-0.15,-0.15,-0.15,-0.05,0.63322,0.040189,0.359853,0.001408,0.071639,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.16, ""fatigue_k_leak"": 0.035, ""fatigue_threshold_gain"": 0.08, ""inhibitory_suppression_gain"": 0.08, ""input_signal_clip"": 2.2, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.78, ""k_threshold_base"": 0.6, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.66_clip1.9_inh0.08_mid_fatigue,40,0,0.612634,33.4,0.0,0.926288,-0.045,0.19207,0.0,0.075,-0.1,-0.1,-0.1,0.419713,0.083823,0.384715,0.014762,0.057337,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.16, ""fatigue_k_leak"": 0.035, ""fatigue_threshold_gain"": 0.08, ""inhibitory_suppression_gain"": 0.08, ""input_signal_clip"": 1.9, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8400000000000001, ""k_threshold_base"": 0.66, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.63_clip2.2_inh0.08_mid_fatigue,40,0,0.563487,33.325,0.0,0.922166,-0.065,0.179856,0.1,-0.125,-0.175,-0.025,-0.1,0.400934,0.054154,0.279744,0.052575,0.111874,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.16, ""fatigue_k_leak"": 0.035, ""fatigue_threshold_gain"": 0.08, ""inhibitory_suppression_gain"": 0.08, ""input_signal_clip"": 2.2, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.81, ""k_threshold_base"": 0.63, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.63_clip1.9_inh0.08_low_fatigue,40,0,0.552693,33.225,0.0,0.928312,-0.12,0.199022,0.05,-0.2,-0.175,-0.2,-0.075,0.441456,0.029688,0.339957,0.030499,0.153511,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.12, ""fatigue_k_leak"": 0.025, ""fatigue_threshold_gain"": 0.06, ""inhibitory_suppression_gain"": 0.08, ""input_signal_clip"": 1.9, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.81, ""k_threshold_base"": 0.63, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.60_clip2.2_inh0.12_low_fatigue,40,0,0.535865,33.45,0.0,0.932686,-0.12,0.195579,0.0,-0.175,-0.2,-0.15,-0.075,0.413483,0.059769,0.373203,0.039999,0.091441,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.12, ""fatigue_k_leak"": 0.025, ""fatigue_threshold_gain"": 0.06, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 2.2, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.78, ""k_threshold_base"": 0.6, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.60_clip1.9_inh0.08_mid_fatigue,40,0,0.531063,31.7,0.0,0.931658,-0.09,0.189126,0.075,-0.2,-0.125,-0.1,-0.1,0.430505,0.029809,0.403579,-0.009965,0.091704,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.16, ""fatigue_k_leak"": 0.035, ""fatigue_threshold_gain"": 0.08, ""inhibitory_suppression_gain"": 0.08, ""input_signal_clip"": 1.9, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.78, ""k_threshold_base"": 0.6, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
