config,ok_rows,error_rows,objective,mean_branch_len,len1_ratio,mean_activation_density,tracked_lift_mean,tracked_separation_mean,valence_lift,social_orientation_lift,action_tendency_class_lift,appraisal_family_lift,control_state_lift,valence_separation,social_orientation_separation,action_tendency_class_separation,appraisal_family_separation,control_state_separation,params_json
thr0.64_topk3_clip1.8_inh0.12_midfat,24,0,0.38769,44.041667,0.0,0.946843,-0.075,0.158063,-0.166667,-0.041667,0.0,-0.083333,-0.083333,0.4257,0.199772,0.173525,0.042641,-0.051325,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.8, ""input_topk"": 3, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8200000000000001, ""k_threshold_base"": 0.64, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.70_topk3_clip1.2_inh0.18_midfat,24,0,0.382652,34.416667,0.125,0.79785,-0.083333,0.21171,-0.125,0.0,-0.166667,-0.083333,-0.041667,0.394485,0.132816,0.229606,0.16855,0.133093,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.18, ""input_signal_clip"": 1.2, ""input_topk"": 3, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8799999999999999, ""k_threshold_base"": 0.7, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.64_topk2_clip1.2_inh0.18_midfat,24,0,0.380197,37.583333,0.041667,0.88726,-0.041667,0.154851,-0.041667,-0.041667,0.0,-0.083333,-0.041667,0.37229,0.132844,0.135866,0.151013,-0.017758,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.18, ""input_signal_clip"": 1.2, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8200000000000001, ""k_threshold_base"": 0.64, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.67_topk3_clip1.2_inh0.12_midfat,24,0,0.355522,30.375,0.166667,0.770174,-0.016667,0.249513,-0.041667,0.0,0.166667,-0.083333,-0.125,0.591303,0.042359,0.444919,0.105501,0.063485,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.2, ""input_topk"": 3, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8500000000000001, ""k_threshold_base"": 0.67, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.67_topk2_clip1.8_inh0.12_midfat,24,0,0.324298,34.875,0.083333,0.869295,-0.133333,0.209195,-0.083333,-0.166667,-0.041667,-0.166667,-0.208333,0.501263,0.138603,0.239494,0.119256,0.047358,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.8, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8500000000000001, ""k_threshold_base"": 0.67, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.70_topk2_clip1.5_inh0.12_midfat,24,0,0.266433,33.166667,0.125,0.819421,-0.15,0.214199,-0.041667,-0.166667,-0.041667,-0.291667,-0.208333,0.6183,0.06305,0.272788,0.052977,0.06388,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.5, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8799999999999999, ""k_threshold_base"": 0.7, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.70_topk3_clip1.2_inh0.12_midfat,24,0,0.25567,32.375,0.166667,0.783942,-0.05,0.22543,-0.083333,0.083333,0.083333,-0.125,-0.208333,0.465275,0.092572,0.371936,0.108341,0.089026,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.2, ""input_topk"": 3, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8799999999999999, ""k_threshold_base"": 0.7, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.67_topk2_clip1.5_inh0.12_midfat,24,0,0.227695,32.791667,0.166667,0.781488,-0.05,0.217437,-0.208333,0.0,0.208333,-0.083333,-0.166667,0.486858,0.013186,0.39363,0.087178,0.106334,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.5, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8500000000000001, ""k_threshold_base"": 0.67, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.67_topk3_clip1.5_inh0.12_midfat,24,0,0.224021,34.25,0.125,0.818273,-0.15,0.201097,-0.083333,-0.083333,-0.125,-0.208333,-0.25,0.543758,0.063584,0.281542,0.069698,0.046904,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.5, ""input_topk"": 3, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8500000000000001, ""k_threshold_base"": 0.67, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.67_topk2_clip1.2_inh0.12_midfat,24,0,0.215267,37.958333,0.125,0.819398,-0.058333,0.17337,-0.083333,0.083333,0.083333,-0.083333,-0.291667,0.491837,-0.009464,0.289776,-0.002473,0.097173,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.2, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8500000000000001, ""k_threshold_base"": 0.67, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.70_topk3_clip1.5_inh0.18_midfat,24,0,0.178615,37.375,0.166667,0.784737,-0.091667,0.215319,0.0,-0.125,0.125,-0.208333,-0.25,0.467413,0.11996,0.271015,0.132862,0.085345,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.18, ""input_signal_clip"": 1.5, ""input_topk"": 3, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8799999999999999, ""k_threshold_base"": 0.7, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
