config,ok_rows,error_rows,objective,mean_branch_len,len1_ratio,mean_activation_density,tracked_lift_mean,tracked_separation_mean,valence_lift,social_orientation_lift,action_tendency_class_lift,appraisal_family_lift,control_state_lift,valence_separation,social_orientation_separation,action_tendency_class_separation,appraisal_family_separation,control_state_separation,params_json
thr0.70_topk2_clip1.2_inh0.12_highfat,24,0,-1.24626,19.958333,0.416667,0.536267,0.058333,0.164836,-0.041667,0.166667,0.125,0.125,-0.083333,0.352439,-0.026138,0.243107,0.236634,0.018139,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.24, ""fatigue_k_leak"": 0.07, ""fatigue_threshold_gain"": 0.14, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.2, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8799999999999999, ""k_threshold_base"": 0.7, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.67_topk2_clip1.8_inh0.18_highfat,24,0,-1.25295,20.375,0.375,0.568684,-0.091667,0.140247,-0.083333,-0.041667,0.041667,-0.083333,-0.291667,0.356791,-0.021851,0.203525,0.128259,0.034512,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.24, ""fatigue_k_leak"": 0.07, ""fatigue_threshold_gain"": 0.14, ""inhibitory_suppression_gain"": 0.18, ""input_signal_clip"": 1.8, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8500000000000001, ""k_threshold_base"": 0.67, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.64_topk3_clip1.5_inh0.18_highfat,24,0,-1.254138,18.208333,0.375,0.569154,-0.008333,0.122869,0.0,0.041667,0.125,-0.041667,-0.166667,0.177759,0.002268,0.259521,0.077301,0.097496,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.24, ""fatigue_k_leak"": 0.07, ""fatigue_threshold_gain"": 0.14, ""inhibitory_suppression_gain"": 0.18, ""input_signal_clip"": 1.5, ""input_topk"": 3, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8200000000000001, ""k_threshold_base"": 0.64, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.67_topk2_clip1.8_inh0.12_highfat,24,0,-1.290879,20.625,0.458333,0.501042,0.058333,0.221605,0.0,0.041667,0.291667,0.0,-0.041667,0.251972,0.186963,0.504369,0.120438,0.044281,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.24, ""fatigue_k_leak"": 0.07, ""fatigue_threshold_gain"": 0.14, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.8, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8500000000000001, ""k_threshold_base"": 0.67, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.64_topk2_clip1.5_inh0.12_highfat,24,0,-1.298875,19.791667,0.416667,0.541107,0.091667,0.139141,0.083333,0.166667,0.125,0.125,-0.041667,0.211129,-0.007472,0.223756,0.217593,0.050699,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.24, ""fatigue_k_leak"": 0.07, ""fatigue_threshold_gain"": 0.14, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.5, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8200000000000001, ""k_threshold_base"": 0.64, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.67_topk2_clip1.5_inh0.12_highfat,24,0,-1.320264,20.875,0.416667,0.537569,0.033333,0.147524,-0.041667,0.125,0.125,0.125,-0.166667,0.375943,-0.058989,0.32593,0.102431,-0.007694,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.24, ""fatigue_k_leak"": 0.07, ""fatigue_threshold_gain"": 0.14, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.5, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8500000000000001, ""k_threshold_base"": 0.67, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.64_topk2_clip1.8_inh0.18_highfat,24,0,-1.343737,18.875,0.416667,0.534821,0.041667,0.145629,-0.041667,0.041667,0.333333,0.041667,-0.166667,0.108557,0.048914,0.322472,0.225532,0.022669,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.24, ""fatigue_k_leak"": 0.07, ""fatigue_threshold_gain"": 0.14, ""inhibitory_suppression_gain"": 0.18, ""input_signal_clip"": 1.8, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8200000000000001, ""k_threshold_base"": 0.64, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.67_topk3_clip1.5_inh0.12_highfat,24,0,-1.437928,14.0,0.416667,0.529079,0.033333,0.138301,0.0,0.0,0.083333,0.083333,0.0,0.387005,-0.093793,0.214396,0.204906,-0.021009,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.24, ""fatigue_k_leak"": 0.07, ""fatigue_threshold_gain"": 0.14, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.5, ""input_topk"": 3, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8500000000000001, ""k_threshold_base"": 0.67, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.67_topk2_clip1.2_inh0.18_highfat,24,0,-1.446836,20.5,0.416667,0.534607,-0.058333,0.139739,0.0,0.166667,-0.083333,-0.041667,-0.333333,0.290132,-0.016584,0.181204,0.169903,0.074038,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.24, ""fatigue_k_leak"": 0.07, ""fatigue_threshold_gain"": 0.14, ""inhibitory_suppression_gain"": 0.18, ""input_signal_clip"": 1.2, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8500000000000001, ""k_threshold_base"": 0.67, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.70_topk3_clip1.2_inh0.18_highfat,24,0,-1.478065,21.375,0.416667,0.535381,-0.075,0.132578,-0.041667,-0.125,0.0,-0.041667,-0.166667,0.403461,-0.000831,0.177325,0.122774,-0.039838,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.24, ""fatigue_k_leak"": 0.07, ""fatigue_threshold_gain"": 0.14, ""inhibitory_suppression_gain"": 0.18, ""input_signal_clip"": 1.2, ""input_topk"": 3, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8799999999999999, ""k_threshold_base"": 0.7, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
